"","observation_path","chamber_path","member_path","constituency_path","observation_number","chamber_number","member_number","full_name","first_name","last_name","laying_minister_name","chamber","constituency","title","hansard_title","start_date","end_date","end_note","unpaid","joint"
"90","/chamber-1/member-1940/observation-90","/chamber-1","/chamber-1/member-1940","/chamber-1/constituency-828","90",1,1940,"Iain Stewart","Iain","Stewart",NA,"Commons","Milton Keynes South","Assistant Whip","Assistant Whip","2018-07-26",NA,NA,"False","False"
"91","/chamber-1/member-1959/observation-91","/chamber-1","/chamber-1/member-1959","/chamber-1/constituency-86","91",1,1959,"Graham Stuart","Graham","Stuart","Graham Stuart","Commons","Beverley and Holderness","Parliamentary Under-Secretary (Department for International Trade)","Parliamentary Under-Secretary (Department for International Trade)","2018-01-09",NA,NA,"False","False"
"92","/chamber-1/member-1967/observation-92","/chamber-1","/chamber-1/member-1967","/chamber-1/constituency-1049","92",1,1967,"Rishi Sunak","Rishi","Sunak","Rishi Sunak","Commons","Richmond (Yorks)","Chief Secretary to the Treasury","The Chief Secretary to the Treasury","2019-07-24",NA,NA,"False","False"
"93","/chamber-1/member-2023/observation-93","/chamber-1","/chamber-1/member-2023","/chamber-1/constituency-453","93",1,2023,"Maggie Throup","Maggie","Throup",NA,"Commons","Erewash","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2019-09-19",NA,NA,"True","False"
"94","/chamber-1/member-2033/observation-94","/chamber-1","/chamber-1/member-2033","/chamber-1/constituency-1055","94",1,2033,"Kelly Tolhurst","Kelly","Tolhurst","Kelly Tolhurst","Commons","Rochester and Strood","Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)","Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)","2018-07-19",NA,NA,"False","False"
"95","/chamber-1/member-2034/observation-95","/chamber-1","/chamber-1/member-2034","/chamber-1/constituency-912","95",1,2034,"Justin Tomlinson","Justin","Tomlinson","Justin Tomlinson","Commons","North Swindon","Minister of State (Department for Work and Pensions)","The Minister of State, Department for Work and Pensions","2019-04-04",NA,NA,"False","False"
"96","/chamber-1/member-2048/observation-96","/chamber-1","/chamber-1/member-2048","/chamber-1/constituency-76","96",1,2048,"Anne-Marie Trevelyan","Anne-Marie","Trevelyan","Anne-Marie Trevelyan","Commons","Berwick-upon-Tweed","Parliamentary Under-Secretary (Ministry of Defence)","The Parliamentary Under-Secretary of State for Defence","2019-07-27",NA,NA,"False","False"
"97","/chamber-1/member-2054/observation-97","/chamber-1","/chamber-1/member-2054","/chamber-1/constituency-1184","97",1,2054,"Elizabeth Truss","Elizabeth","Truss","Secretary Elizabeth Truss","Commons","South West Norfolk","Minister for Women and Equalities","Minister for Women and Equalities","2019-09-10",NA,NA,"False","False"
"98","/chamber-1/member-2054/observation-98","/chamber-1","/chamber-1/member-2054","/chamber-1/constituency-1184","98",1,2054,"Elizabeth Truss","Elizabeth","Truss","Secretary Elizabeth Truss","Commons","South West Norfolk","Secretary of State for International Trade and President of the Board of Trade","The Secretary of State for International Trade and President of the Board of Trade","2019-07-24",NA,NA,"False","False"
"99","/chamber-1/member-2085/observation-99","/chamber-1","/chamber-1/member-2085","/chamber-1/constituency-272","99",1,2085,"Theresa Villiers","Theresa","Villiers","Secretary Theresa Villiers","Commons","Chipping Barnet","Secretary of State for Environment, Food and Rural Affairs","The Secretary of State for Environment, Food and Rural Affairs","2019-07-24",NA,NA,"False","False"
"100","/chamber-1/member-2095/observation-100","/chamber-1","/chamber-1/member-2095","/chamber-1/constituency-1436","100",1,2095,"Mr Robin Walker","Mr Robin","Walker","Mr Robin Walker","Commons","Worcester","Parliamentary Under-Secretary (Scotland Office) (jointly with the Northern Ireland Office)","Parliamentary Under-Secretary (Scotland Office) (jointly with the Northern Ireland Office)","2019-07-26",NA,NA,"False","False"
"101","/chamber-1/member-2105/observation-101","/chamber-1","/chamber-1/member-2105","/chamber-1/constituency-1443","101",1,2105,"Mr Ben Wallace","Mr Ben","Wallace","Secretary Ben Wallace","Commons","Wyre and Preston North","Secretary of State for Defence","The Secretary of State for Defence","2019-07-24",NA,NA,"False","False"
"102","/chamber-1/member-2120/observation-102","/chamber-1","/chamber-1/member-2120","/chamber-1/constituency-144","102",1,2120,"Matt Warman","Matt","Warman","Matt Warman","Commons","Boston and Skegness","Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ","The Parliamentary Under-Secretary of State for Digital, Culture, Media and Sport","2019-07-26",NA,NA,"False","False"
"103","/chamber-1/member-2145/observation-103","/chamber-1","/chamber-1/member-2145","/chamber-1/constituency-471","103",1,2145,"Helen Whately","Helen","Whately","Helen Whately","Commons","Faversham and Mid Kent","Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ","The Parliamentary Under-Secretary of State for Digital, Culture, Media and Sport","2019-09-10",NA,NA,"False","False"
"104","/chamber-1/member-2146/observation-104","/chamber-1","/chamber-1/member-2146","/chamber-1/constituency-1147","104",1,2146,"Mrs Heather Wheeler","Mrs Heather","Wheeler","Mrs Heather Wheeler","Commons","South Derbyshire","Parliamentary Under-Secretary (Foreign and Commonwealth Office)","The Parliamentary Under-Secretary of State for Foreign and Commonwealth Affairs","2019-07-26",NA,NA,"False","False"
"105","/chamber-1/member-2187/observation-105","/chamber-1","/chamber-1/member-2187","/chamber-1/constituency-1173","105",1,2187,"Gavin Williamson","Gavin","Williamson","Secretary Gavin Williamson","Commons","South Staffordshire","Secretary of State for Education","The Secretary of State for Education","2019-07-24",NA,NA,"False","False"
"106","/chamber-1/member-2237/observation-106","/chamber-1","/chamber-1/member-2237","/chamber-1/constituency-1258","106",1,2237,"Nadhim Zahawi","Nadhim","Zahawi","Nadhim Zahawi","Commons","Stratford-on-Avon","Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)","Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)","2019-07-26",NA,NA,"False","False"
"107","/chamber-2/member-155/observation-107","/chamber-2","/chamber-2/member-155",NA,"107",2,155,"B. Blackwood of North Oxford","B.","Blackwood of North Oxford","Baroness Blackwood of North Oxford","Lords","Life peer","Parliamentary Under-Secretary (Department of Health and Social Care)","The Parliamentary Under-Secretary for Health and Social Care","2019-01-14",NA,NA,"False","False"
