"MEMBERS’ ROLES AND COMMITTEE MEMBERSHIPS AS OF 2019.09.05",

SPEAKER AND OTHER PRESIDING OFFICERS
"Name","Title",
"Regan, Geoff (Hon.)","Speaker of the House",
"Stanton, Bruce","Deputy Speaker and Chair of the Committees of the Whole",
"Hughes, Carol","Deputy Chair Of Committees of the Whole",
"Rota, Anthony","Assistant Deputy Chair Of Committees of the Whole",


BOARD OF INTERNAL ECONOMY
"Name","Title",
"Regan, Geoff (Hon.)","Board of Internal Economy Chair",
"Bergen, Candice (Hon.)","Board of Internal Economy Member",
"Chagger, Bardish (Hon.)","Board of Internal Economy Member",
"Holland, Mark (Hon.)","Board of Internal Economy Member",
"Julian, Peter","Board of Internal Economy Member",
"Rodriguez, Pablo (Hon.)","Board of Internal Economy Member",
"Strahl, Mark","Board of Internal Economy Member",


HOUSE OFFICERS
"Name","Title","Political Affiliation",
"Regan, Geoff (Hon.)","Speaker","Liberal",
"Stanton, Bruce","Deputy Speaker and Chair of Committees of the Whole","Conservative",
"Hughes, Carol","Assistant Deputy Speaker and Deputy Chair of Committees of the Whole","NDP",
"Rota, Anthony","Assistant Deputy Speaker and Assistant Deputy Chair of Committees of the Whole","Liberal",
"Scheer, Andrew (Hon.)","Leader of the Conservative Party of Canada","Conservative",
"Singh, Jagmeet","Leader of the New Democratic Party","NDP",
"Trudeau, Justin (Right Hon.)","Leader of the Liberal Party","Liberal",
"Bergen, Candice (Hon.)","House Leader of the Official Opposition","Conservative",
"Julian, Peter","House Leader of the New Democratic Party","NDP",
"Brosseau, Ruth Ellen","Whip of the New Democratic Party","NDP",
"Holland, Mark (Hon.)","Chief Government Whip","Liberal",
"Strahl, Mark","Chief Opposition Whip","Conservative",
"Dubé, Matthew","Caucus Chair","NDP",
"Scarpaleggia, Francis","Caucus Chair","Liberal",
"Sweet, David","Caucus Chair","Conservative",


MEMBERS OF THE HOUSE OF COMMONS
"Name","Constituency","Province","Political Affiliation",
"Bezan, James","Associate Member",
"Blaikie, Daniel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boulerice, Alexandre","Associate Member",
"Boutin-Sweet, Marjolaine","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Christopherson, David","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dusseault, Pierre-Luc","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rankin, Murray","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",


Subcommittee on Agenda and Procedure (SETH)
"Name","Title",
"Zimmer, Bob","Chair",
"Angus, Charlie","Member",
"Erskine-Smith, Nathaniel","Member",
"Saini, Raj","Member",


Agriculture and Agri-Food (AGRI)
"Name","Title",
"Finnigan, Pat","Chair",
"Berthold, Luc","Vice-Chair",
"MacGregor, Alistair","Vice-Chair",
"Breton, Pierre","Member",
"Dreeshen, Earl","Member",
"Drouin, Francis","Member",
"Longfield, Lloyd","Member",
"Nassif, Eva","Member",
"Peschisolido, Joe","Member",
"Shipley, Bev","Member",
"Poissant, Jean-Claude","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Aubin, Robert","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Bossio, Mike","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Cannings, Richard","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Dabrusin, Julie","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Eglinski, Jim","Associate Member",
"Eyking, Mark (Hon.)","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Garrison, Randall","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Harvey, T.J.","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lapointe, Linda","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Moore, Christine","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paradis, Denis (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Poissant, Jean-Claude","Associate Member",
"Quach, Anne Minh-Thu","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Ramsey, Tracey","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Sansoucy, Brigitte","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Sidhu, Jati","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Stetski, Wayne","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SAGR)
"Name","Title",
"Finnigan, Pat","Chair",
"Berthold, Luc","Member",
"Drouin, Francis","Member",
"Longfield, Lloyd","Member",
"MacGregor, Alistair","Member",


Canadian Heritage (CHPC)
"Name","Title",
"Dabrusin, Julie","Chair",
"Blaney, Steven (Hon.)","Vice-Chair",
"Boissonnault, Randy","Member",
"Breton, Pierre","Member",
"Dhillon, Anju","Member",
"Hogg, Gordie","Member",
"Long, Wayne","Member",
"Nantel, Pierre","Member",
"Shields, Martin","Member",
"Yurdiga, David","Member",
"Anandasangaree, Gary","Parliamentary Secretary — Non-Voting Member",
"Fillmore, Andy","Parliamentary Secretary — Non-Voting Member",
"Young, Kate","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Aldag, John","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Angus, Charlie","Associate Member",
"Arnold, Mel","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Baylis, Frank","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Rachel","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boulerice, Alexandre","Associate Member",
"Boutin-Sweet, Marjolaine","Associate Member",
"Brassard, John","Associate Member",
"Bratina, Bob","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Casey, Bill","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Choquette, François","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cormier, Serge","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Fergus, Greg","Associate Member",
"Fillmore, Andy","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Fisher, Darren","Associate Member",
"Fraser, Colin","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Graham, David de Burgh","Associate Member",
"Hardcastle, Cheryl","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Khera, Kamal","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lametti, David (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Lauzon, Stéphane","Associate Member",
"Lefebvre, Paul","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lightbound, Joël","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lockhart, Alaina","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacGregor, Alistair","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Poissant, Jean-Claude","Associate Member",
"Quach, Anne Minh-Thu","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rioux, Jean","Associate Member",
"Saroya, Bob","Associate Member",
"Schiefke, Peter","Associate Member",
"Schmale, Jamie","Associate Member",
"Shipley, Bev","Associate Member",
"Simms, Scott","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Stetski, Wayne","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vaughan, Adam","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Young, Kate","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SCHP)
"Name","Title",
"Dabrusin, Julie","Chair",
"Blaney, Steven (Hon.)","Member",
"Hogg, Gordie","Member",
"Long, Wayne","Member",
"Nantel, Pierre","Member",


Citizenship and Immigration (CIMM)
"Name","Title",
"Whalen, Nick","Chair",
"Kwan, Jenny","Vice-Chair",
"Rempel, Michelle (Hon.)","Vice-Chair",
"Ayoub, Ramez","Member",
"Maguire, Larry","Member",
"Sarai, Randeep","Member",
"Scarpaleggia, Francis","Member",
"Tabbara, Marwan","Member",
"Tilson, David","Member",
"Zahid, Salma","Member",
"DeCourcey, Matt","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Rachel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boulerice, Alexandre","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Casey, Sean","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Christopherson, David","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Dhaliwal, Sukh","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dubourg, Emmanuel","Associate Member",
"Eglinski, Jim","Associate Member",
"El-Khoury, Fayçal","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Fonseca, Peter","Associate Member",
"Fragiskatos, Peter","Associate Member",
"Gallant, Cheryl","Associate Member",
"Garrison, Randall","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hardie, Ken","Associate Member",
"Hoback, Randy","Associate Member",
"Iacono, Angelo","Associate Member",
"Jeneroux, Matt","Associate Member",
"Jowhari, Majid","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Khalid, Iqra","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lamoureux, Kevin","Associate Member",
"Lauzon, Guy","Associate Member",
"Laverdière, Hélène","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Levitt, Michael","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McKinnon, Ron","Associate Member",
"McLeod, Cathy","Associate Member",
"Mendès, Alexandra","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Nassif, Eva","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rankin, Murray","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Richards, Blake","Associate Member",
"Robillard, Yves","Associate Member",
"Ruimy, Dan","Associate Member",
"Sangha, Ramesh","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Serré, Marc","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sidhu, Jati","Associate Member",
"Sidhu, Sonia","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Spengemann, Sven","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Virani, Arif","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SCIM)
"Name","Title",
"Whalen, Nick","Chair",
"Kwan, Jenny","Member",
"Rempel, Michelle (Hon.)","Member",
"Sarai, Randeep","Member",


Environment and Sustainable Development (ENVI)
"Name","Title",
"Aldag, John","Chair",
"Fast, Ed (Hon.)","Vice-Chair",
"Stetski, Wayne","Vice-Chair",
"Amos, William","Member",
"Bossio, Mike","Member",
"Dzerowicz, Julie","Member",
"Fisher, Darren","Member",
"Godin, Joël","Member",
"Lake, Mike (Hon.)","Member",
"Peschisolido, Joe","Member",
"Fraser, Sean","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Angus, Charlie","Associate Member",
"Arnold, Mel","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Baylis, Frank","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Cannings, Richard","Associate Member",
"Caron, Guy","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Choquette, François","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cullen, Nathan","Associate Member",
"Dabrusin, Julie","Associate Member",
"Damoff, Pam","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Donnelly, Fin","Associate Member",
"Dreeshen, Earl","Associate Member",
"Duncan, Linda","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fillmore, Andy","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Fraser, Sean","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Goldsmith-Jones, Pamela","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Holland, Mark (Hon.)","Associate Member",
"Hughes, Carol","Associate Member",
"Hutchings, Gudie","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Jolibois, Georgina","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Khera, Kamal","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Lemieux, Denis","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Longfield, Lloyd","Associate Member",
"Ludwig, Karen","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McKay, John (Hon.)","Associate Member",
"McKinnon, Ron","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Murray, Joyce (Hon.)","Associate Member",
"Nater, John","Associate Member",
"Nault, Robert (Hon.)","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Poissant, Jean-Claude","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Ramsey, Tracey","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rodriguez, Pablo (Hon.)","Associate Member",
"Saganash, Romeo","Associate Member",
"Saroya, Bob","Associate Member",
"Schiefke, Peter","Associate Member",
"Schmale, Jamie","Associate Member",
"Shanahan, Brenda","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sikand, Gagan","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tan, Geng","Associate Member",
"Tassi, Filomena (Hon.)","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vandal, Dan","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wilkinson, Jonathan (Hon.)","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SENV)
"Name","Title",
"Aldag, John","Chair",
"Amos, William","Member",
"Dzerowicz, Julie","Member",
"Fast, Ed (Hon.)","Member",
"Stetski, Wayne","Member",


Finance (FINA)
"Name","Title",
"Easter, Wayne (Hon.)","Chair",
"Dusseault, Pierre-Luc","Vice-Chair",
"Poilievre, Pierre (Hon.)","Vice-Chair",
"Bendayan, Rachel","Member",
"Fragiskatos, Peter","Member",
"Kmiec, Tom","Member",
"McLeod, Michael","Member",
"Richards, Blake","Member",
"Rudd, Kim","Member",
"Sorbara, Francesco","Member",
"Lightbound, Joël","Parliamentary Secretary — Non-Voting Member",
"O'Connell, Jennifer","Parliamentary Secretary — Non-Voting Member",
"Schulte, Deborah","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alghabra, Omar","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anandasangaree, Gary","Associate Member",
"Anderson, David","Associate Member",
"Angus, Charlie","Associate Member",
"Arnold, Mel","Associate Member",
"Ashton, Niki","Associate Member",
"Badawey, Vance","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Beech, Terry","Associate Member",
"Benson, Sheri","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaikie, Daniel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
