"","committee_acronym","parliament_number","session_number","date_change","title","first_name","last_name","full_name"
"141.6","AGRI","39","1","2007-01-30","Member","Ken","Boshcoff","Ken Boshcoff"
"141.7","AGRI","39","1","2007-01-30","Member","Barry","Devolin","Barry Devolin"
"141.8","AGRI","39","1","2007-01-30","Member","Wayne","Easter","Wayne Easter"
"141.9","AGRI","39","1","2007-01-30","Member","Roger","Gaudet","Roger Gaudet"
"141.10","AGRI","39","1","2007-01-30","Member","Jacques","Gourde","Jacques Gourde"
"141.11","AGRI","39","1","2007-01-30","Member","Charles","Hubbard","Charles Hubbard"
"141.12","AGRI","39","1","2007-01-30","Member","Larry","Miller","Larry Miller"
"142.1","AGRI","39","1","2007-02-01","Chair","James","Bezan","James Bezan"
"142.2","AGRI","39","1","2007-02-01","Co-chair","Paul","Steckle","Paul Steckle"
"142.3","AGRI","39","1","2007-02-01","Co-chair","André","Bellavance","André Bellavance"
"142.4","AGRI","39","1","2007-02-01","Member","David","Anderson","David Anderson"
"142.5","AGRI","39","1","2007-02-01","Member","Alex","Atamanenko","Alex Atamanenko"
"142.6","AGRI","39","1","2007-02-01","Member","Ken","Boshcoff","Ken Boshcoff"
"142.7","AGRI","39","1","2007-02-01","Member","Barry","Devolin","Barry Devolin"
"142.8","AGRI","39","1","2007-02-01","Member","Wayne","Easter","Wayne Easter"
"142.9","AGRI","39","1","2007-02-01","Member","Roger","Gaudet","Roger Gaudet"
"142.10","AGRI","39","1","2007-02-01","Member","Jacques","Gourde","Jacques Gourde"
"142.11","AGRI","39","1","2007-02-01","Member","Charles","Hubbard","Charles Hubbard"
"142.12","AGRI","39","1","2007-02-01","Member","Larry","Miller","Larry Miller"
"143.1","AGRI","39","1","2007-02-02","Chair","James","Bezan","James Bezan"
"143.2","AGRI","39","1","2007-02-02","Co-chair","Paul","Steckle","Paul Steckle"
"143.3","AGRI","39","1","2007-02-02","Co-chair","André","Bellavance","André Bellavance"
"143.4","AGRI","39","1","2007-02-02","Member","David","Anderson","David Anderson"
"143.5","AGRI","39","1","2007-02-02","Member","Alex","Atamanenko","Alex Atamanenko"
"143.6","AGRI","39","1","2007-02-02","Member","Ken","Boshcoff","Ken Boshcoff"
"143.7","AGRI","39","1","2007-02-02","Member","Barry","Devolin","Barry Devolin"
"143.8","AGRI","39","1","2007-02-02","Member","Wayne","Easter","Wayne Easter"
"143.9","AGRI","39","1","2007-02-02","Member","Roger","Gaudet","Roger Gaudet"
"143.10","AGRI","39","1","2007-02-02","Member","Jacques","Gourde","Jacques Gourde"
"143.11","AGRI","39","1","2007-02-02","Member","Charles","Hubbard","Charles Hubbard"
"143.12","AGRI","39","1","2007-02-02","Member","Larry","Miller","Larry Miller"
"144.1","AGRI","39","1","2007-09-14","Chair","James","Bezan","James Bezan"
"144.2","AGRI","39","1","2007-09-14","Co-chair","Paul","Steckle","Paul Steckle"
"144.3","AGRI","39","1","2007-09-14","Co-chair","André","Bellavance","André Bellavance"
"144.4","AGRI","39","1","2007-09-14","Member","David","Anderson","David Anderson"
"144.5","AGRI","39","1","2007-09-14","Member","Alex","Atamanenko","Alex Atamanenko"
"144.6","AGRI","39","1","2007-09-14","Member","Ken","Boshcoff","Ken Boshcoff"
"144.7","AGRI","39","1","2007-09-14","Member","Barry","Devolin","Barry Devolin"
"144.8","AGRI","39","1","2007-09-14","Member","Wayne","Easter","Wayne Easter"
"144.9","AGRI","39","1","2007-09-14","Member","Roger","Gaudet","Roger Gaudet"
"144.10","AGRI","39","1","2007-09-14","Member","Jacques","Gourde","Jacques Gourde"
"144.11","AGRI","39","1","2007-09-14","Member","Charles","Hubbard","Charles Hubbard"
"144.12","AGRI","39","1","2007-09-14","Member","Larry","Miller","Larry Miller"
"145.1","AGRI","39","2","2007-10-31","Chair","James","Bezan","James Bezan"
"145.2","AGRI","39","2","2007-10-31","Co-chair","Paul","Steckle","Paul Steckle"
"145.3","AGRI","39","2","2007-10-31","Co-chair","André","Bellavance","André Bellavance"
"145.4","AGRI","39","2","2007-10-31","Member","Alex","Atamanenko","Alex Atamanenko"
"145.5","AGRI","39","2","2007-10-31","Member","Ken","Boshcoff","Ken Boshcoff"
"145.6","AGRI","39","2","2007-10-31","Member","Wayne","Easter","Wayne Easter"
"145.7","AGRI","39","2","2007-10-31","Member","Guy","Lauzon","Guy Lauzon"
"145.8","AGRI","39","2","2007-10-31","Member","Larry","Miller","Larry Miller"
"145.9","AGRI","39","2","2007-10-31","Member","Carol","Skelton","Carol Skelton"
"145.10","AGRI","39","2","2007-10-31","Member","Lloyd","St. Amand","Lloyd St. Amand"
"145.11","AGRI","39","2","2007-10-31","Member","Brian","Storseth","Brian Storseth"
"145.12","AGRI","39","2","2007-10-31","Member","Ève-Mary Thaï","Thi Lac","Ève-Mary Thaï Thi Lac"
"146.1","AGRI","39","2","2007-11-14","Chair","James","Bezan","James Bezan"
"146.2","AGRI","39","2","2007-11-14","Co-chair","Paul","Steckle","Paul Steckle"
"146.3","AGRI","39","2","2007-11-14","Co-chair","André","Bellavance","André Bellavance"
"146.4","AGRI","39","2","2007-11-14","Member","Alex","Atamanenko","Alex Atamanenko"
"146.5","AGRI","39","2","2007-11-14","Member","Ken","Boshcoff","Ken Boshcoff"
"146.6","AGRI","39","2","2007-11-14","Member","Wayne","Easter","Wayne Easter"
"146.7","AGRI","39","2","2007-11-14","Member","Guy","Lauzon","Guy Lauzon"
"146.8","AGRI","39","2","2007-11-14","Member","Larry","Miller","Larry Miller"
"146.9","AGRI","39","2","2007-11-14","Member","Carol","Skelton","Carol Skelton"
"146.10","AGRI","39","2","2007-11-14","Member","Lloyd","St. Amand","Lloyd St. Amand"
"146.11","AGRI","39","2","2007-11-14","Member","Brian","Storseth","Brian Storseth"
"146.12","AGRI","39","2","2007-11-14","Member","Ève-Mary Thaï","Thi Lac","Ève-Mary Thaï Thi Lac"
"147.1","AGRI","39","2","2007-11-15","Chair","James","Bezan","James Bezan"
"147.2","AGRI","39","2","2007-11-15","Co-chair","Paul","Steckle","Paul Steckle"
"147.3","AGRI","39","2","2007-11-15","Co-chair","André","Bellavance","André Bellavance"
"147.4","AGRI","39","2","2007-11-15","Member","Alex","Atamanenko","Alex Atamanenko"
"147.5","AGRI","39","2","2007-11-15","Member","Ken","Boshcoff","Ken Boshcoff"
"147.6","AGRI","39","2","2007-11-15","Member","Wayne","Easter","Wayne Easter"
"147.7","AGRI","39","2","2007-11-15","Member","Guy","Lauzon","Guy Lauzon"
"147.8","AGRI","39","2","2007-11-15","Member","Larry","Miller","Larry Miller"
"147.9","AGRI","39","2","2007-11-15","Member","Carol","Skelton","Carol Skelton"
"147.10","AGRI","39","2","2007-11-15","Member","Lloyd","St. Amand","Lloyd St. Amand"
"147.11","AGRI","39","2","2007-11-15","Member","Brian","Storseth","Brian Storseth"
"147.12","AGRI","39","2","2007-11-15","Member","Ève-Mary Thaï","Thi Lac","Ève-Mary Thaï Thi Lac"
"148.1","AGRI","39","2","2008-01-30","Chair","James","Bezan","James Bezan"
"148.2","AGRI","39","2","2008-01-30","Co-chair","Paul","Steckle","Paul Steckle"
"148.3","AGRI","39","2","2008-01-30","Co-chair","André","Bellavance","André Bellavance"
"148.4","AGRI","39","2","2008-01-30","Member","Alex","Atamanenko","Alex Atamanenko"
"148.5","AGRI","39","2","2008-01-30","Member","Ken","Boshcoff","Ken Boshcoff"
"148.6","AGRI","39","2","2008-01-30","Member","Wayne","Easter","Wayne Easter"
"148.7","AGRI","39","2","2008-01-30","Member","Guy","Lauzon","Guy Lauzon"
"148.8","AGRI","39","2","2008-01-30","Member","Larry","Miller","Larry Miller"
"148.9","AGRI","39","2","2008-01-30","Member","Carol","Skelton","Carol Skelton"
"148.10","AGRI","39","2","2008-01-30","Member","Lloyd","St. Amand","Lloyd St. Amand"
"148.11","AGRI","39","2","2008-01-30","Member","Brian","Storseth","Brian Storseth"
"148.12","AGRI","39","2","2008-01-30","Member","Ève-Mary Thaï","Thi Lac","Ève-Mary Thaï Thi Lac"
"149.1","AGRI","39","2","2008-09-07","Chair","James","Bezan","James Bezan"
"149.2","AGRI","39","2","2008-09-07","Co-chair","Paul","Steckle","Paul Steckle"
"149.3","AGRI","39","2","2008-09-07","Co-chair","André","Bellavance","André Bellavance"
"149.4","AGRI","39","2","2008-09-07","Member","Alex","Atamanenko","Alex Atamanenko"
"149.5","AGRI","39","2","2008-09-07","Member","Ken","Boshcoff","Ken Boshcoff"
"149.6","AGRI","39","2","2008-09-07","Member","Wayne","Easter","Wayne Easter"
"149.7","AGRI","39","2","2008-09-07","Member","Guy","Lauzon","Guy Lauzon"
"149.8","AGRI","39","2","2008-09-07","Member","Larry","Miller","Larry Miller"
"149.9","AGRI","39","2","2008-09-07","Member","Carol","Skelton","Carol Skelton"
"149.10","AGRI","39","2","2008-09-07","Member","Lloyd","St. Amand","Lloyd St. Amand"
"149.11","AGRI","39","2","2008-09-07","Member","Brian","Storseth","Brian Storseth"
"149.12","AGRI","39","2","2008-09-07","Member","Ève-Mary Thaï","Thi Lac","Ève-Mary Thaï Thi Lac"
"150.1","AGRI","40","2","2009-01-27","Chair","Larry","Miller","Larry Miller"
"150.2","AGRI","40","2","2009-01-27","Co-chair","Mark","Eyking","Mark Eyking"
"150.3","AGRI","40","2","2009-01-27","Co-chair","André","Bellavance","André Bellavance"
"150.4","AGRI","40","2","2009-01-27","Member","Alex","Atamanenko","Alex Atamanenko"
"150.5","AGRI","40","2","2009-01-27","Member","France","Bonsant","France Bonsant"
"150.6","AGRI","40","2","2009-01-27","Member","Wayne","Easter","Wayne Easter"
"150.7","AGRI","40","2","2009-01-27","Member","Randy","Hoback","Randy Hoback"
"150.8","AGRI","40","2","2009-01-27","Member","Pierre","Lemieux","Pierre Lemieux"
"150.9","AGRI","40","2","2009-01-27","Member","Blake","Richards","Blake Richards"
"150.10","AGRI","40","2","2009-01-27","Member","Bev","Shipley","Bev Shipley"
"150.11","AGRI","40","2","2009-01-27","Member","Brian","Storseth","Brian Storseth"
"150.12","AGRI","40","2","2009-01-27","Member","Frank","Valeriote","Frank Valeriote"
"151.1","AGRI","40","2","2009-02-03","Chair","Larry","Miller","Larry Miller"
"151.2","AGRI","40","2","2009-02-03","Co-chair","Mark","Eyking","Mark Eyking"
"151.3","AGRI","40","2","2009-02-03","Co-chair","André","Bellavance","André Bellavance"
"151.4","AGRI","40","2","2009-02-03","Member","Alex","Atamanenko","Alex Atamanenko"
"151.5","AGRI","40","2","2009-02-03","Member","France","Bonsant","France Bonsant"
"151.6","AGRI","40","2","2009-02-03","Member","Wayne","Easter","Wayne Easter"
"151.7","AGRI","40","2","2009-02-03","Member","Randy","Hoback","Randy Hoback"
"151.8","AGRI","40","2","2009-02-03","Member","Pierre","Lemieux","Pierre Lemieux"
"151.9","AGRI","40","2","2009-02-03","Member","Blake","Richards","Blake Richards"
"151.10","AGRI","40","2","2009-02-03","Member","Bev","Shipley","Bev Shipley"
"151.11","AGRI","40","2","2009-02-03","Member","Brian","Storseth","Brian Storseth"
"151.12","AGRI","40","2","2009-02-03","Member","Frank","Valeriote","Frank Valeriote"
"152.1","AGRI","40","2","2009-09-28","Chair","Larry","Miller","Larry Miller"
"152.2","AGRI","40","2","2009-09-28","Co-chair","Mark","Eyking","Mark Eyking"
"152.3","AGRI","40","2","2009-09-28","Co-chair","André","Bellavance","André Bellavance"
"152.4","AGRI","40","2","2009-09-28","Member","Alex","Atamanenko","Alex Atamanenko"
"152.5","AGRI","40","2","2009-09-28","Member","France","Bonsant","France Bonsant"
"152.6","AGRI","40","2","2009-09-28","Member","Wayne","Easter","Wayne Easter"
"152.7","AGRI","40","2","2009-09-28","Member","Randy","Hoback","Randy Hoback"
"152.8","AGRI","40","2","2009-09-28","Member","Pierre","Lemieux","Pierre Lemieux"
"152.9","AGRI","40","2","2009-09-28","Member","Blake","Richards","Blake Richards"
"152.10","AGRI","40","2","2009-09-28","Member","Bev","Shipley","Bev Shipley"
"152.11","AGRI","40","2","2009-09-28","Member","Brian","Storseth","Brian Storseth"
"152.12","AGRI","40","2","2009-09-28","Member","Frank","Valeriote","Frank Valeriote"
"153.1","AGRI","40","2","2009-10-06","Chair","Larry","Miller","Larry Miller"
"153.2","AGRI","40","2","2009-10-06","Co-chair","Mark","Eyking","Mark Eyking"
"153.3","AGRI","40","2","2009-10-06","Co-chair","André","Bellavance","André Bellavance"
"153.4","AGRI","40","2","2009-10-06","Member","Alex","Atamanenko","Alex Atamanenko"
"153.5","AGRI","40","2","2009-10-06","Member","France","Bonsant","France Bonsant"
"153.6","AGRI","40","2","2009-10-06","Member","Wayne","Easter","Wayne Easter"
"153.7","AGRI","40","2","2009-10-06","Member","Randy","Hoback","Randy Hoback"
"153.8","AGRI","40","2","2009-10-06","Member","Pierre","Lemieux","Pierre Lemieux"
"153.9","AGRI","40","2","2009-10-06","Member","Blake","Richards","Blake Richards"
"153.10","AGRI","40","2","2009-10-06","Member","Bev","Shipley","Bev Shipley"
"153.11","AGRI","40","2","2009-10-06","Member","Brian","Storseth","Brian Storseth"
"153.12","AGRI","40","2","2009-10-06","Member","Frank","Valeriote","Frank Valeriote"
"154.1","AGRI","40","2","2009-12-30","Chair","Larry","Miller","Larry Miller"
"154.2","AGRI","40","2","2009-12-30","Co-chair","Mark","Eyking","Mark Eyking"
"154.3","AGRI","40","2","2009-12-30","Co-chair","André","Bellavance","André Bellavance"
"154.4","AGRI","40","2","2009-12-30","Member","Alex","Atamanenko","Alex Atamanenko"
"154.5","AGRI","40","2","2009-12-30","Member","France","Bonsant","France Bonsant"
"154.6","AGRI","40","2","2009-12-30","Member","Wayne","Easter","Wayne Easter"
"154.7","AGRI","40","2","2009-12-30","Member","Randy","Hoback","Randy Hoback"
"154.8","AGRI","40","2","2009-12-30","Member","Pierre","Lemieux","Pierre Lemieux"
"154.9","AGRI","40","2","2009-12-30","Member","Blake","Richards","Blake Richards"
"154.10","AGRI","40","2","2009-12-30","Member","Bev","Shipley","Bev Shipley"
"154.11","AGRI","40","2","2009-12-30","Member","Brian","Storseth","Brian Storseth"
"154.12","AGRI","40","2","2009-12-30","Member","Frank","Valeriote","Frank Valeriote"
"155.1","AGRI","40","3","2010-03-04","Chair","Larry","Miller","Larry Miller"
"155.2","AGRI","40","3","2010-03-04","Co-chair","Mark","Eyking","Mark Eyking"
"155.3","AGRI","40","3","2010-03-04","Co-chair","André","Bellavance","André Bellavance"
"155.4","AGRI","40","3","2010-03-04","Member","Alex","Atamanenko","Alex Atamanenko"
"155.5","AGRI","40","3","2010-03-04","Member","France","Bonsant","France Bonsant"
"155.6","AGRI","40","3","2010-03-04","Member","Wayne","Easter","Wayne Easter"
"155.7","AGRI","40","3","2010-03-04","Member","Randy","Hoback","Randy Hoback"
"155.8","AGRI","40","3","2010-03-04","Member","Pierre","Lemieux","Pierre Lemieux"
"155.9","AGRI","40","3","2010-03-04","Member","Blake","Richards","Blake Richards"
"155.10","AGRI","40","3","2010-03-04","Member","Bev","Shipley","Bev Shipley"
"155.11","AGRI","40","3","2010-03-04","Member","Brian","Storseth","Brian Storseth"
"155.12","AGRI","40","3","2010-03-04","Member","Frank","Valeriote","Frank Valeriote"
"156.1","AGRI","40","3","2010-03-10","Chair","Larry","Miller","Larry Miller"
"156.2","AGRI","40","3","2010-03-10","Co-chair","Mark","Eyking","Mark Eyking"
"156.3","AGRI","40","3","2010-03-10","Co-chair","André","Bellavance","André Bellavance"
"156.4","AGRI","40","3","2010-03-10","Member","Alex","Atamanenko","Alex Atamanenko"
"156.5","AGRI","40","3","2010-03-10","Member","France","Bonsant","France Bonsant"
"156.6","AGRI","40","3","2010-03-10","Member","Wayne","Easter","Wayne Easter"
"156.7","AGRI","40","3","2010-03-10","Member","Randy","Hoback","Randy Hoback"
"156.8","AGRI","40","3","2010-03-10","Member","Pierre","Lemieux","Pierre Lemieux"
"156.9","AGRI","40","3","2010-03-10","Member","Blake","Richards","Blake Richards"
"156.10","AGRI","40","3","2010-03-10","Member","Bev","Shipley","Bev Shipley"
"156.11","AGRI","40","3","2010-03-10","Member","Brian","Storseth","Brian Storseth"
"156.12","AGRI","40","3","2010-03-10","Member","Frank","Valeriote","Frank Valeriote"
"157.1","AGRI","40","3","2010-09-27","Chair","Larry","Miller","Larry Miller"
"157.2","AGRI","40","3","2010-09-27","Co-chair","Mark","Eyking","Mark Eyking"
"157.3","AGRI","40","3","2010-09-27","Co-chair","André","Bellavance","André Bellavance"
"157.4","AGRI","40","3","2010-09-27","Member","Alex","Atamanenko","Alex Atamanenko"
"157.5","AGRI","40","3","2010-09-27","Member","France","Bonsant","France Bonsant"
"157.6","AGRI","40","3","2010-09-27","Member","Wayne","Easter","Wayne Easter"
"157.7","AGRI","40","3","2010-09-27","Member","Randy","Hoback","Randy Hoback"
"157.8","AGRI","40","3","2010-09-27","Member","Pierre","Lemieux","Pierre Lemieux"
"157.9","AGRI","40","3","2010-09-27","Member","Blake","Richards","Blake Richards"
"157.10","AGRI","40","3","2010-09-27","Member","Bev","Shipley","Bev Shipley"
"157.11","AGRI","40","3","2010-09-27","Member","Brian","Storseth","Brian Storseth"
"157.12","AGRI","40","3","2010-09-27","Member","Frank","Valeriote","Frank Valeriote"
"158.1","AGRI","40","3","2010-09-30","Chair","Larry","Miller","Larry Miller"
"158.2","AGRI","40","3","2010-09-30","Co-chair","Mark","Eyking","Mark Eyking"
"158.3","AGRI","40","3","2010-09-30","Co-chair","André","Bellavance","André Bellavance"
"158.4","AGRI","40","3","2010-09-30","Member","Alex","Atamanenko","Alex Atamanenko"
"158.5","AGRI","40","3","2010-09-30","Member","France","Bonsant","France Bonsant"
"158.6","AGRI","40","3","2010-09-30","Member","Wayne","Easter","Wayne Easter"
"158.7","AGRI","40","3","2010-09-30","Member","Randy","Hoback","Randy Hoback"
"158.8","AGRI","40","3","2010-09-30","Member","Pierre","Lemieux","Pierre Lemieux"
"158.9","AGRI","40","3","2010-09-30","Member","Blake","Richards","Blake Richards"
"158.10","AGRI","40","3","2010-09-30","Member","Bev","Shipley","Bev Shipley"
"158.11","AGRI","40","3","2010-09-30","Member","Brian","Storseth","Brian Storseth"
"158.12","AGRI","40","3","2010-09-30","Member","Frank","Valeriote","Frank Valeriote"
"159.1","AGRI","40","3","2011-03-26","Chair","Larry","Miller","Larry Miller"
"159.2","AGRI","40","3","2011-03-26","Co-chair","Mark","Eyking","Mark Eyking"
"159.3","AGRI","40","3","2011-03-26","Co-chair","André","Bellavance","André Bellavance"
"159.4","AGRI","40","3","2011-03-26","Member","Alex","Atamanenko","Alex Atamanenko"
"159.5","AGRI","40","3","2011-03-26","Member","France","Bonsant","France Bonsant"
"159.6","AGRI","40","3","2011-03-26","Member","Wayne","Easter","Wayne Easter"
"159.7","AGRI","40","3","2011-03-26","Member","Randy","Hoback","Randy Hoback"
"159.8","AGRI","40","3","2011-03-26","Member","Pierre","Lemieux","Pierre Lemieux"
"159.9","AGRI","40","3","2011-03-26","Member","Blake","Richards","Blake Richards"
"159.10","AGRI","40","3","2011-03-26","Member","Bev","Shipley","Bev Shipley"
"159.11","AGRI","40","3","2011-03-26","Member","Brian","Storseth","Brian Storseth"
"159.12","AGRI","40","3","2011-03-26","Member","Frank","Valeriote","Frank Valeriote"
"160.1","AGRI","41","1","2011-06-13","Chair","Merv","Tweed","Merv Tweed"
"160.2","AGRI","41","1","2011-06-13","Co-chair","Malcolm","Allen","Malcolm Allen"
"160.3","AGRI","41","1","2011-06-13","Co-chair","Frank","Valeriote","Frank Valeriote"
"160.4","AGRI","41","1","2011-06-13","Member","Alex","Atamanenko","Alex Atamanenko"
"160.5","AGRI","41","1","2011-06-13","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"160.6","AGRI","41","1","2011-06-13","Member","Randy","Hoback","Randy Hoback"
"160.7","AGRI","41","1","2011-06-13","Member","Pierre","Lemieux","Pierre Lemieux"
"160.8","AGRI","41","1","2011-06-13","Member","LaVar","Payne","LaVar Payne"
"160.9","AGRI","41","1","2011-06-13","Member","Francine","Raynault","Francine Raynault"
"160.10","AGRI","41","1","2011-06-13","Member","Blake","Richards","Blake Richards"
"160.11","AGRI","41","1","2011-06-13","Member","Brian","Storseth","Brian Storseth"
"160.12","AGRI","41","1","2011-06-13","Member","Bob","Zimmer","Bob Zimmer"
"161.1","AGRI","41","1","2011-06-21","Chair","Merv","Tweed","Merv Tweed"
"161.2","AGRI","41","1","2011-06-21","Co-chair","Malcolm","Allen","Malcolm Allen"
"161.3","AGRI","41","1","2011-06-21","Co-chair","Frank","Valeriote","Frank Valeriote"
"161.4","AGRI","41","1","2011-06-21","Member","Alex","Atamanenko","Alex Atamanenko"
"161.5","AGRI","41","1","2011-06-21","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"161.6","AGRI","41","1","2011-06-21","Member","Randy","Hoback","Randy Hoback"
"161.7","AGRI","41","1","2011-06-21","Member","Pierre","Lemieux","Pierre Lemieux"
"161.8","AGRI","41","1","2011-06-21","Member","LaVar","Payne","LaVar Payne"
"161.9","AGRI","41","1","2011-06-21","Member","Francine","Raynault","Francine Raynault"
"161.10","AGRI","41","1","2011-06-21","Member","Blake","Richards","Blake Richards"
"161.11","AGRI","41","1","2011-06-21","Member","Brian","Storseth","Brian Storseth"
"161.12","AGRI","41","1","2011-06-21","Member","Bob","Zimmer","Bob Zimmer"
"162.1","AGRI","41","1","2012-04-23","Chair","Merv","Tweed","Merv Tweed"
"162.2","AGRI","41","1","2012-04-23","Co-chair","Malcolm","Allen","Malcolm Allen"
"162.3","AGRI","41","1","2012-04-23","Co-chair","Frank","Valeriote","Frank Valeriote"
"162.4","AGRI","41","1","2012-04-23","Member","Alex","Atamanenko","Alex Atamanenko"
"162.5","AGRI","41","1","2012-04-23","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"162.6","AGRI","41","1","2012-04-23","Member","Randy","Hoback","Randy Hoback"
"162.7","AGRI","41","1","2012-04-23","Member","Pierre","Lemieux","Pierre Lemieux"
"162.8","AGRI","41","1","2012-04-23","Member","LaVar","Payne","LaVar Payne"
"162.9","AGRI","41","1","2012-04-23","Member","Francine","Raynault","Francine Raynault"
"162.10","AGRI","41","1","2012-04-23","Member","Blake","Richards","Blake Richards"
"162.11","AGRI","41","1","2012-04-23","Member","Brian","Storseth","Brian Storseth"
"162.12","AGRI","41","1","2012-04-23","Member","Bob","Zimmer","Bob Zimmer"
"163.1","AGRI","41","1","2012-09-20","Chair","Merv","Tweed","Merv Tweed"
"163.2","AGRI","41","1","2012-09-20","Co-chair","Malcolm","Allen","Malcolm Allen"
"163.3","AGRI","41","1","2012-09-20","Co-chair","Frank","Valeriote","Frank Valeriote"
"163.4","AGRI","41","1","2012-09-20","Member","Alex","Atamanenko","Alex Atamanenko"
"163.5","AGRI","41","1","2012-09-20","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"163.6","AGRI","41","1","2012-09-20","Member","Randy","Hoback","Randy Hoback"
"163.7","AGRI","41","1","2012-09-20","Member","Pierre","Lemieux","Pierre Lemieux"
"163.8","AGRI","41","1","2012-09-20","Member","LaVar","Payne","LaVar Payne"
"163.9","AGRI","41","1","2012-09-20","Member","Francine","Raynault","Francine Raynault"
"163.10","AGRI","41","1","2012-09-20","Member","Blake","Richards","Blake Richards"
"163.11","AGRI","41","1","2012-09-20","Member","Brian","Storseth","Brian Storseth"
"163.12","AGRI","41","1","2012-09-20","Member","Bob","Zimmer","Bob Zimmer"
"164.1","AGRI","41","1","2012-09-25","Chair","Merv","Tweed","Merv Tweed"
"164.2","AGRI","41","1","2012-09-25","Co-chair","Malcolm","Allen","Malcolm Allen"
"164.3","AGRI","41","1","2012-09-25","Co-chair","Frank","Valeriote","Frank Valeriote"
"164.4","AGRI","41","1","2012-09-25","Member","Alex","Atamanenko","Alex Atamanenko"
"164.5","AGRI","41","1","2012-09-25","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"164.6","AGRI","41","1","2012-09-25","Member","Randy","Hoback","Randy Hoback"
"164.7","AGRI","41","1","2012-09-25","Member","Pierre","Lemieux","Pierre Lemieux"
"164.8","AGRI","41","1","2012-09-25","Member","LaVar","Payne","LaVar Payne"
"164.9","AGRI","41","1","2012-09-25","Member","Francine","Raynault","Francine Raynault"
"164.10","AGRI","41","1","2012-09-25","Member","Blake","Richards","Blake Richards"
"164.11","AGRI","41","1","2012-09-25","Member","Brian","Storseth","Brian Storseth"
"164.12","AGRI","41","1","2012-09-25","Member","Bob","Zimmer","Bob Zimmer"
"165.1","AGRI","41","1","2013-09-13","Chair","Merv","Tweed","Merv Tweed"
"165.2","AGRI","41","1","2013-09-13","Co-chair","Malcolm","Allen","Malcolm Allen"
"165.3","AGRI","41","1","2013-09-13","Co-chair","Frank","Valeriote","Frank Valeriote"
"165.4","AGRI","41","1","2013-09-13","Member","Alex","Atamanenko","Alex Atamanenko"
"165.5","AGRI","41","1","2013-09-13","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"165.6","AGRI","41","1","2013-09-13","Member","Randy","Hoback","Randy Hoback"
"165.7","AGRI","41","1","2013-09-13","Member","Pierre","Lemieux","Pierre Lemieux"
"165.8","AGRI","41","1","2013-09-13","Member","LaVar","Payne","LaVar Payne"
"165.9","AGRI","41","1","2013-09-13","Member","Francine","Raynault","Francine Raynault"
"165.10","AGRI","41","1","2013-09-13","Member","Blake","Richards","Blake Richards"
"165.11","AGRI","41","1","2013-09-13","Member","Brian","Storseth","Brian Storseth"
"165.12","AGRI","41","1","2013-09-13","Member","Bob","Zimmer","Bob Zimmer"
"166.1","AGRI","41","2","2013-10-22","Chair","Bev","Shipley","Bev Shipley"
"166.2","AGRI","41","2","2013-10-22","Co-chair","Malcolm","Allen","Malcolm Allen"
"166.3","AGRI","41","2","2013-10-22","Co-chair","Mark","Eyking","Mark Eyking"
"166.4","AGRI","41","2","2013-10-22","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"166.5","AGRI","41","2","2013-10-22","Member","Earl","Dreeshen","Earl Dreeshen"
"166.6","AGRI","41","2","2013-10-22","Member","Gerald","Keddy","Gerald Keddy"
"166.7","AGRI","41","2","2013-10-22","Member","Larry","Maguire","Larry Maguire"
"166.8","AGRI","41","2","2013-10-22","Member","LaVar","Payne","LaVar Payne"
"166.9","AGRI","41","2","2013-10-22","Member","Francine","Raynault","Francine Raynault"
"166.10","AGRI","41","2","2013-10-22","Member","Bob","Zimmer","Bob Zimmer"
"167.1","AGRI","41","2","2013-10-24","Chair","Bev","Shipley","Bev Shipley"
"167.2","AGRI","41","2","2013-10-24","Co-chair","Malcolm","Allen","Malcolm Allen"
"167.3","AGRI","41","2","2013-10-24","Co-chair","Mark","Eyking","Mark Eyking"
"167.4","AGRI","41","2","2013-10-24","Member","Ruth Ellen","Brosseau","Ruth Ellen Brosseau"
"167.5","AGRI","41","2","2013-10-24","Member","Earl","Dreeshen","Earl Dreeshen"
"167.6","AGRI","41","2","2013-10-24","Member","Gerald","Keddy","Gerald Keddy"
"167.7","AGRI","41","2","2013-10-24","Member","Larry","Maguire","Larry Maguire"
"167.8","AGRI","41","2","2013-10-24","Member","LaVar","Payne","LaVar Payne"
"167.9","AGRI","41","2","2013-10-24","Member","Francine","Raynault","Francine Raynault"
"167.10","AGRI","41","2","2013-10-24","Member","Bob","Zimmer","Bob Zimmer"
"168.1","AGRI","41","2","2014-01-27","Chair","Bev","Shipley","Bev Shipley"
"168.2","AGRI","41","2","2014-01-27","Co-chair","Malcolm","Allen","Malcolm Allen"
"168.3","AGRI","41","2","2014-01-27","Co-chair","Mark","Eyking","Mark Eyking"
