"","constituency_name","observation_path","chamber_path","constituency_path","observation_number","chamber_number","constituency_number","chamber_name","province_name"
"210","Laurier—Sainte-Marie","/chamber-1/observation-210","/chamber-1","/chamber-1/constituency-210",210,1,210,"House of Commons","Quebec"
"211","Laval","/chamber-1/observation-211","/chamber-1","/chamber-1/constituency-211",211,1,211,"House of Commons","Quebec"
"212","Laval—Les Îles","/chamber-1/observation-212","/chamber-1","/chamber-1/constituency-212",212,1,212,"House of Commons","Quebec"
"213","Leeds—Grenville","/chamber-1/observation-213","/chamber-1","/chamber-1/constituency-213",213,1,213,"House of Commons","Ontario"
"214","Leeds—Grenville—Thousand Islands and Rideau Lakes","/chamber-1/observation-214","/chamber-1","/chamber-1/constituency-214",214,1,214,"House of Commons","Ontario"
"215","Lethbridge","/chamber-1/observation-215","/chamber-1","/chamber-1/constituency-215",215,1,215,"House of Commons","Alberta"
"216","Lévis—Bellechasse","/chamber-1/observation-216","/chamber-1","/chamber-1/constituency-216",216,1,216,"House of Commons","Quebec"
"217","Lévis—Lotbinière","/chamber-1/observation-217","/chamber-1","/chamber-1/constituency-217",217,1,217,"House of Commons","Quebec"
"218","London North Centre","/chamber-1/observation-218","/chamber-1","/chamber-1/constituency-218",218,1,218,"House of Commons","Ontario"
"219","London West","/chamber-1/observation-219","/chamber-1","/chamber-1/constituency-219",219,1,219,"House of Commons","Ontario"
"220","London—Fanshawe","/chamber-1/observation-220","/chamber-1","/chamber-1/constituency-220",220,1,220,"House of Commons","Ontario"
"221","Long Range Mountains","/chamber-1/observation-221","/chamber-1","/chamber-1/constituency-221",221,1,221,"House of Commons","Newfoundland and Labrador"
"222","Longueuil—Charles-LeMoyne","/chamber-1/observation-222","/chamber-1","/chamber-1/constituency-222",222,1,222,"House of Commons","Quebec"
"223","Longueuil—Pierre-Boucher","/chamber-1/observation-223","/chamber-1","/chamber-1/constituency-223",223,1,223,"House of Commons","Quebec"
"224","Longueuil—Saint-Hubert","/chamber-1/observation-224","/chamber-1","/chamber-1/constituency-224",224,1,224,"House of Commons","Quebec"
"225","Lotbinière—Chutes-de-la-Chaudière","/chamber-1/observation-225","/chamber-1","/chamber-1/constituency-225",225,1,225,"House of Commons","Quebec"
"226","Louis-Hébert","/chamber-1/observation-226","/chamber-1","/chamber-1/constituency-226",226,1,226,"House of Commons","Quebec"
"227","Louis-Saint-Laurent","/chamber-1/observation-227","/chamber-1","/chamber-1/constituency-227",227,1,227,"House of Commons","Quebec"
"228","Macleod","/chamber-1/observation-228","/chamber-1","/chamber-1/constituency-228",228,1,228,"House of Commons","Alberta"
"229","Madawaska—Restigouche","/chamber-1/observation-229","/chamber-1","/chamber-1/constituency-229",229,1,229,"House of Commons","New Brunswick"
"230","Malpeque","/chamber-1/observation-230","/chamber-1","/chamber-1/constituency-230",230,1,230,"House of Commons","Prince Edward Island"
"231","Manicouagan","/chamber-1/observation-231","/chamber-1","/chamber-1/constituency-231",231,1,231,"House of Commons","Quebec"
"232","Marc-Aurèle-Fortin","/chamber-1/observation-232","/chamber-1","/chamber-1/constituency-232",232,1,232,"House of Commons","Quebec"
"233","Markham—Stouffville","/chamber-1/observation-233","/chamber-1","/chamber-1/constituency-233",233,1,233,"House of Commons","Ontario"
"234","Markham—Thornhill","/chamber-1/observation-234","/chamber-1","/chamber-1/constituency-234",234,1,234,"House of Commons","Ontario"
"235","Markham—Unionville","/chamber-1/observation-235","/chamber-1","/chamber-1/constituency-235",235,1,235,"House of Commons","Ontario"
"236","Medicine Hat","/chamber-1/observation-236","/chamber-1","/chamber-1/constituency-236",236,1,236,"House of Commons","Alberta"
"237","Medicine Hat—Cardston—Warner","/chamber-1/observation-237","/chamber-1","/chamber-1/constituency-237",237,1,237,"House of Commons","Alberta"
"238","Mégantic—L'Érable","/chamber-1/observation-238","/chamber-1","/chamber-1/constituency-238",238,1,238,"House of Commons","Quebec"
"239","Milton","/chamber-1/observation-239","/chamber-1","/chamber-1/constituency-239",239,1,239,"House of Commons","Ontario"
"240","Mirabel","/chamber-1/observation-240","/chamber-1","/chamber-1/constituency-240",240,1,240,"House of Commons","Quebec"
"241","Miramichi","/chamber-1/observation-241","/chamber-1","/chamber-1/constituency-241",241,1,241,"House of Commons","New Brunswick"
"242","Miramichi—Grand Lake","/chamber-1/observation-242","/chamber-1","/chamber-1/constituency-242",242,1,242,"House of Commons","New Brunswick"
"243","Mission—Matsqui—Fraser Canyon","/chamber-1/observation-243","/chamber-1","/chamber-1/constituency-243",243,1,243,"House of Commons","British Columbia"
"244","Mississauga Centre","/chamber-1/observation-244","/chamber-1","/chamber-1/constituency-244",244,1,244,"House of Commons","Ontario"
"245","Mississauga East—Cooksville","/chamber-1/observation-245","/chamber-1","/chamber-1/constituency-245",245,1,245,"House of Commons","Ontario"
"246","Mississauga South","/chamber-1/observation-246","/chamber-1","/chamber-1/constituency-246",246,1,246,"House of Commons","Ontario"
"247","Mississauga—Brampton South","/chamber-1/observation-247","/chamber-1","/chamber-1/constituency-247",247,1,247,"House of Commons","Ontario"
"248","Mississauga—Erin Mills","/chamber-1/observation-248","/chamber-1","/chamber-1/constituency-248",248,1,248,"House of Commons","Ontario"
"249","Mississauga—Erindale","/chamber-1/observation-249","/chamber-1","/chamber-1/constituency-249",249,1,249,"House of Commons","Ontario"
"250","Mississauga—Lakeshore","/chamber-1/observation-250","/chamber-1","/chamber-1/constituency-250",250,1,250,"House of Commons","Ontario"
"251","Mississauga—Malton","/chamber-1/observation-251","/chamber-1","/chamber-1/constituency-251",251,1,251,"House of Commons","Ontario"
"252","Mississauga—Streetsville","/chamber-1/observation-252","/chamber-1","/chamber-1/constituency-252",252,1,252,"House of Commons","Ontario"
"253","Moncton—Riverview—Dieppe","/chamber-1/observation-253","/chamber-1","/chamber-1/constituency-253",253,1,253,"House of Commons","New Brunswick"
"254","Montarville","/chamber-1/observation-254","/chamber-1","/chamber-1/constituency-254",254,1,254,"House of Commons","Quebec"
"255","Montcalm","/chamber-1/observation-255","/chamber-1","/chamber-1/constituency-255",255,1,255,"House of Commons","Quebec"
"256","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup","/chamber-1/observation-256","/chamber-1","/chamber-1/constituency-256",256,1,256,"House of Commons","Quebec"
"257","Montmorency—Charlevoix—Haute-Côte-Nord","/chamber-1/observation-257","/chamber-1","/chamber-1/constituency-257",257,1,257,"House of Commons","Quebec"
"258","Moose Jaw—Lake Centre—Lanigan","/chamber-1/observation-258","/chamber-1","/chamber-1/constituency-258",258,1,258,"House of Commons","Saskatchewan"
"259","Mount Royal","/chamber-1/observation-259","/chamber-1","/chamber-1/constituency-259",259,1,259,"House of Commons","Quebec"
"260","Nanaimo—Alberni","/chamber-1/observation-260","/chamber-1","/chamber-1/constituency-260",260,1,260,"House of Commons","British Columbia"
"261","Nanaimo—Cowichan","/chamber-1/observation-261","/chamber-1","/chamber-1/constituency-261",261,1,261,"House of Commons","British Columbia"
"262","Nanaimo—Ladysmith","/chamber-1/observation-262","/chamber-1","/chamber-1/constituency-262",262,1,262,"House of Commons","British Columbia"
"263","Nepean","/chamber-1/observation-263","/chamber-1","/chamber-1/constituency-263",263,1,263,"House of Commons","Ontario"
"264","Nepean—Carleton","/chamber-1/observation-264","/chamber-1","/chamber-1/constituency-264",264,1,264,"House of Commons","Ontario"
"265","New Brunswick Southwest","/chamber-1/observation-265","/chamber-1","/chamber-1/constituency-265",265,1,265,"House of Commons","New Brunswick"
"266","New Westminster—Burnaby","/chamber-1/observation-266","/chamber-1","/chamber-1/constituency-266",266,1,266,"House of Commons","British Columbia"
"267","New Westminster—Coquitlam","/chamber-1/observation-267","/chamber-1","/chamber-1/constituency-267",267,1,267,"House of Commons","British Columbia"
"268","Newmarket—Aurora","/chamber-1/observation-268","/chamber-1","/chamber-1/constituency-268",268,1,268,"House of Commons","Ontario"
"269","Newton—North Delta","/chamber-1/observation-269","/chamber-1","/chamber-1/constituency-269",269,1,269,"House of Commons","British Columbia"
"270","Niagara Centre","/chamber-1/observation-270","/chamber-1","/chamber-1/constituency-270",270,1,270,"House of Commons","Ontario"
"271","Niagara Falls","/chamber-1/observation-271","/chamber-1","/chamber-1/constituency-271",271,1,271,"House of Commons","Ontario"
"272","Niagara West","/chamber-1/observation-272","/chamber-1","/chamber-1/constituency-272",272,1,272,"House of Commons","Ontario"
"273","Niagara West—Glanbrook","/chamber-1/observation-273","/chamber-1","/chamber-1/constituency-273",273,1,273,"House of Commons","Ontario"
"274","Nickel Belt","/chamber-1/observation-274","/chamber-1","/chamber-1/constituency-274",274,1,274,"House of Commons","Ontario"
"275","Nipissing—Timiskaming","/chamber-1/observation-275","/chamber-1","/chamber-1/constituency-275",275,1,275,"House of Commons","Ontario"
"276","North Island—Powell River","/chamber-1/observation-276","/chamber-1","/chamber-1/constituency-276",276,1,276,"House of Commons","British Columbia"
"277","North Okanagan—Shuswap","/chamber-1/observation-277","/chamber-1","/chamber-1/constituency-277",277,1,277,"House of Commons","British Columbia"
"278","North Vancouver","/chamber-1/observation-278","/chamber-1","/chamber-1/constituency-278",278,1,278,"House of Commons","British Columbia"
"279","Northumberland—Peterborough South","/chamber-1/observation-279","/chamber-1","/chamber-1/constituency-279",279,1,279,"House of Commons","Ontario"
"280","Northumberland—Quinte West","/chamber-1/observation-280","/chamber-1","/chamber-1/constituency-280",280,1,280,"House of Commons","Ontario"
"281","Northwest Territories","/chamber-1/observation-281","/chamber-1","/chamber-1/constituency-281",281,1,281,"House of Commons","Northwest Territories"
"282","Notre-Dame-de-Grâce—Lachine","/chamber-1/observation-282","/chamber-1","/chamber-1/constituency-282",282,1,282,"House of Commons","Quebec"
"283","Notre-Dame-de-Grâce—Westmount","/chamber-1/observation-283","/chamber-1","/chamber-1/constituency-283",283,1,283,"House of Commons","Quebec"
"284","Nunavut","/chamber-1/observation-284","/chamber-1","/chamber-1/constituency-284",284,1,284,"House of Commons","Nunavut"
"285","Oak Ridges—Markham","/chamber-1/observation-285","/chamber-1","/chamber-1/constituency-285",285,1,285,"House of Commons","Ontario"
"286","Oakville","/chamber-1/observation-286","/chamber-1","/chamber-1/constituency-286",286,1,286,"House of Commons","Ontario"
"287","Oakville North—Burlington","/chamber-1/observation-287","/chamber-1","/chamber-1/constituency-287",287,1,287,"House of Commons","Ontario"
"288","Okanagan—Coquihalla","/chamber-1/observation-288","/chamber-1","/chamber-1/constituency-288",288,1,288,"House of Commons","British Columbia"
"289","Okanagan—Shuswap","/chamber-1/observation-289","/chamber-1","/chamber-1/constituency-289",289,1,289,"House of Commons","British Columbia"
"290","Orléans","/chamber-1/observation-290","/chamber-1","/chamber-1/constituency-290",290,1,290,"House of Commons","Ontario"
"291","Oshawa","/chamber-1/observation-291","/chamber-1","/chamber-1/constituency-291",291,1,291,"House of Commons","Ontario"
"292","Ottawa Centre","/chamber-1/observation-292","/chamber-1","/chamber-1/constituency-292",292,1,292,"House of Commons","Ontario"
"293","Ottawa South","/chamber-1/observation-293","/chamber-1","/chamber-1/constituency-293",293,1,293,"House of Commons","Ontario"
"294","Ottawa West—Nepean","/chamber-1/observation-294","/chamber-1","/chamber-1/constituency-294",294,1,294,"House of Commons","Ontario"
"295","Ottawa—Orléans","/chamber-1/observation-295","/chamber-1","/chamber-1/constituency-295",295,1,295,"House of Commons","Ontario"
"296","Ottawa—Vanier","/chamber-1/observation-296","/chamber-1","/chamber-1/constituency-296",296,1,296,"House of Commons","Ontario"
"297","Outremont","/chamber-1/observation-297","/chamber-1","/chamber-1/constituency-297",297,1,297,"House of Commons","Quebec"
"298","Oxford","/chamber-1/observation-298","/chamber-1","/chamber-1/constituency-298",298,1,298,"House of Commons","Ontario"
"299","Palliser","/chamber-1/observation-299","/chamber-1","/chamber-1/constituency-299",299,1,299,"House of Commons","Saskatchewan"
"300","Papineau","/chamber-1/observation-300","/chamber-1","/chamber-1/constituency-300",300,1,300,"House of Commons","Quebec"
"301","Parkdale—High Park","/chamber-1/observation-301","/chamber-1","/chamber-1/constituency-301",301,1,301,"House of Commons","Ontario"
"302","Parry Sound—Muskoka","/chamber-1/observation-302","/chamber-1","/chamber-1/constituency-302",302,1,302,"House of Commons","Ontario"
"303","Peace River","/chamber-1/observation-303","/chamber-1","/chamber-1/constituency-303",303,1,303,"House of Commons","Alberta"
"304","Peace River—Westlock","/chamber-1/observation-304","/chamber-1","/chamber-1/constituency-304",304,1,304,"House of Commons","Alberta"
"305","Perth—Wellington","/chamber-1/observation-305","/chamber-1","/chamber-1/constituency-305",305,1,305,"House of Commons","Ontario"
"306","Peterborough","/chamber-1/observation-306","/chamber-1","/chamber-1/constituency-306",306,1,306,"House of Commons","Ontario"
"307","Peterborough—Kawartha","/chamber-1/observation-307","/chamber-1","/chamber-1/constituency-307",307,1,307,"House of Commons","Ontario"
"308","Pickering—Scarborough East","/chamber-1/observation-308","/chamber-1","/chamber-1/constituency-308",308,1,308,"House of Commons","Ontario"
"309","Pickering—Uxbridge","/chamber-1/observation-309","/chamber-1","/chamber-1/constituency-309",309,1,309,"House of Commons","Ontario"
"310","Pierre-Boucher—Les Patriotes—Verchères","/chamber-1/observation-310","/chamber-1","/chamber-1/constituency-310",310,1,310,"House of Commons","Quebec"
"311","Pierrefonds—Dollard","/chamber-1/observation-311","/chamber-1","/chamber-1/constituency-311",311,1,311,"House of Commons","Quebec"
"312","Pitt Meadows—Maple Ridge","/chamber-1/observation-312","/chamber-1","/chamber-1/constituency-312",312,1,312,"House of Commons","British Columbia"
"313","Pitt Meadows—Maple Ridge—Mission","/chamber-1/observation-313","/chamber-1","/chamber-1/constituency-313",313,1,313,"House of Commons","British Columbia"
"314","Pontiac","/chamber-1/observation-314","/chamber-1","/chamber-1/constituency-314",314,1,314,"House of Commons","Quebec"
"315","Port Moody—Coquitlam","/chamber-1/observation-315","/chamber-1","/chamber-1/constituency-315",315,1,315,"House of Commons","British Columbia"
"316","Port Moody—Westwood—Port Coquitlam","/chamber-1/observation-316","/chamber-1","/chamber-1/constituency-316",316,1,316,"House of Commons","British Columbia"
"317","Portage—Lisgar","/chamber-1/observation-317","/chamber-1","/chamber-1/constituency-317",317,1,317,"House of Commons","Manitoba"
"318","Portneuf—Jacques-Cartier","/chamber-1/observation-318","/chamber-1","/chamber-1/constituency-318",318,1,318,"House of Commons","Quebec"
"319","Prince Albert","/chamber-1/observation-319","/chamber-1","/chamber-1/constituency-319",319,1,319,"House of Commons","Saskatchewan"
"320","Prince Edward—Hastings","/chamber-1/observation-320","/chamber-1","/chamber-1/constituency-320",320,1,320,"House of Commons","Ontario"
"321","Prince George—Peace River","/chamber-1/observation-321","/chamber-1","/chamber-1/constituency-321",321,1,321,"House of Commons","British Columbia"
"322","Prince George—Peace River—Northern Rockies","/chamber-1/observation-322","/chamber-1","/chamber-1/constituency-322",322,1,322,"House of Commons","British Columbia"
"323","Provencher","/chamber-1/observation-323","/chamber-1","/chamber-1/constituency-323",323,1,323,"House of Commons","Manitoba"
"324","Québec","/chamber-1/observation-324","/chamber-1","/chamber-1/constituency-324",324,1,324,"House of Commons","Quebec"
"325","Random—Burin—St. George's","/chamber-1/observation-325","/chamber-1","/chamber-1/constituency-325",325,1,325,"House of Commons","Newfoundland and Labrador"
"326","Red Deer","/chamber-1/observation-326","/chamber-1","/chamber-1/constituency-326",326,1,326,"House of Commons","Alberta"
"327","Red Deer—Lacombe","/chamber-1/observation-327","/chamber-1","/chamber-1/constituency-327",327,1,327,"House of Commons","Alberta"
"328","Red Deer—Mountain View","/chamber-1/observation-328","/chamber-1","/chamber-1/constituency-328",328,1,328,"House of Commons","Alberta"
"329","Regina—Lewvan","/chamber-1/observation-329","/chamber-1","/chamber-1/constituency-329",329,1,329,"House of Commons","Saskatchewan"
"330","Regina—Lumsden—Lake Centre","/chamber-1/observation-330","/chamber-1","/chamber-1/constituency-330",330,1,330,"House of Commons","Saskatchewan"
"331","Regina—Qu'Appelle","/chamber-1/observation-331","/chamber-1","/chamber-1/constituency-331",331,1,331,"House of Commons","Saskatchewan"
"332","Regina—Wascana","/chamber-1/observation-332","/chamber-1","/chamber-1/constituency-332",332,1,332,"House of Commons","Saskatchewan"
"333","Renfrew—Nipissing—Pembroke","/chamber-1/observation-333","/chamber-1","/chamber-1/constituency-333",333,1,333,"House of Commons","Ontario"
"334","Repentigny","/chamber-1/observation-334","/chamber-1","/chamber-1/constituency-334",334,1,334,"House of Commons","Quebec"
"335","Richmond","/chamber-1/observation-335","/chamber-1","/chamber-1/constituency-335",335,1,335,"House of Commons","British Columbia"
"336","Richmond Centre","/chamber-1/observation-336","/chamber-1","/chamber-1/constituency-336",336,1,336,"House of Commons","British Columbia"
"337","Richmond Hill","/chamber-1/observation-337","/chamber-1","/chamber-1/constituency-337",337,1,337,"House of Commons","Ontario"
"338","Richmond—Arthabaska","/chamber-1/observation-338","/chamber-1","/chamber-1/constituency-338",338,1,338,"House of Commons","Quebec"
"339","Rimouski-Neigette—Témiscouata—Les Basques","/chamber-1/observation-339","/chamber-1","/chamber-1/constituency-339",339,1,339,"House of Commons","Quebec"
"340","Rivière-des-Mille-Îles","/chamber-1/observation-340","/chamber-1","/chamber-1/constituency-340",340,1,340,"House of Commons","Quebec"
"341","Rivière-du-Nord","/chamber-1/observation-341","/chamber-1","/chamber-1/constituency-341",341,1,341,"House of Commons","Quebec"
"342","Roberval—Lac-Saint-Jean","/chamber-1/observation-342","/chamber-1","/chamber-1/constituency-342",342,1,342,"House of Commons","Quebec"
"343","Rosemont—La Petite-Patrie","/chamber-1/observation-343","/chamber-1","/chamber-1/constituency-343",343,1,343,"House of Commons","Quebec"
"344","Saanich—Gulf Islands","/chamber-1/observation-344","/chamber-1","/chamber-1/constituency-344",344,1,344,"House of Commons","British Columbia"
"345","Sackville—Eastern Shore","/chamber-1/observation-345","/chamber-1","/chamber-1/constituency-345",345,1,345,"House of Commons","Nova Scotia"
"346","Sackville—Preston—Chezzetcook","/chamber-1/observation-346","/chamber-1","/chamber-1/constituency-346",346,1,346,"House of Commons","Nova Scotia"
"347","Saint Boniface","/chamber-1/observation-347","/chamber-1","/chamber-1/constituency-347",347,1,347,"House of Commons","Manitoba"
"348","Saint Boniface—Saint Vital","/chamber-1/observation-348","/chamber-1","/chamber-1/constituency-348",348,1,348,"House of Commons","Manitoba"
"349","Saint John","/chamber-1/observation-349","/chamber-1","/chamber-1/constituency-349",349,1,349,"House of Commons","New Brunswick"
"350","Saint John—Rothesay","/chamber-1/observation-350","/chamber-1","/chamber-1/constituency-350",350,1,350,"House of Commons","New Brunswick"
"351","Saint-Bruno—Saint-Hubert","/chamber-1/observation-351","/chamber-1","/chamber-1/constituency-351",351,1,351,"House of Commons","Quebec"
"352","Saint-Hyacinthe—Bagot","/chamber-1/observation-352","/chamber-1","/chamber-1/constituency-352",352,1,352,"House of Commons","Quebec"
"353","Saint-Jean","/chamber-1/observation-353","/chamber-1","/chamber-1/constituency-353",353,1,353,"House of Commons","Quebec"
"354","Saint-Lambert","/chamber-1/observation-354","/chamber-1","/chamber-1/constituency-354",354,1,354,"House of Commons","Quebec"
"355","Saint-Laurent","/chamber-1/observation-355","/chamber-1","/chamber-1/constituency-355",355,1,355,"House of Commons","Quebec"
"356","Saint-Laurent—Cartierville","/chamber-1/observation-356","/chamber-1","/chamber-1/constituency-356",356,1,356,"House of Commons","Quebec"
"357","Saint-Léonard—Saint-Michel","/chamber-1/observation-357","/chamber-1","/chamber-1/constituency-357",357,1,357,"House of Commons","Quebec"
"358","Saint-Maurice—Champlain","/chamber-1/observation-358","/chamber-1","/chamber-1/constituency-358",358,1,358,"House of Commons","Quebec"
"359","Salaberry—Suroît","/chamber-1/observation-359","/chamber-1","/chamber-1/constituency-359",359,1,359,"House of Commons","Quebec"
"360","Sarnia—Lambton","/chamber-1/observation-360","/chamber-1","/chamber-1/constituency-360",360,1,360,"House of Commons","Ontario"
"361","Saskatoon West","/chamber-1/observation-361","/chamber-1","/chamber-1/constituency-361",361,1,361,"House of Commons","Saskatchewan"
"362","Saskatoon—Grasswood","/chamber-1/observation-362","/chamber-1","/chamber-1/constituency-362",362,1,362,"House of Commons","Saskatchewan"
"363","Saskatoon—Humboldt","/chamber-1/observation-363","/chamber-1","/chamber-1/constituency-363",363,1,363,"House of Commons","Saskatchewan"
"364","Saskatoon—Rosetown—Biggar","/chamber-1/observation-364","/chamber-1","/chamber-1/constituency-364",364,1,364,"House of Commons","Saskatchewan"
"365","Saskatoon—University","/chamber-1/observation-365","/chamber-1","/chamber-1/constituency-365",365,1,365,"House of Commons","Saskatchewan"
"366","Saskatoon—Wanuskewin","/chamber-1/observation-366","/chamber-1","/chamber-1/constituency-366",366,1,366,"House of Commons","Saskatchewan"
"367","Sault Ste. Marie","/chamber-1/observation-367","/chamber-1","/chamber-1/constituency-367",367,1,367,"House of Commons","Ontario"
"368","Scarborough Centre","/chamber-1/observation-368","/chamber-1","/chamber-1/constituency-368",368,1,368,"House of Commons","Ontario"
"369","Scarborough North","/chamber-1/observation-369","/chamber-1","/chamber-1/constituency-369",369,1,369,"House of Commons","Ontario"
"370","Scarborough Southwest","/chamber-1/observation-370","/chamber-1","/chamber-1/constituency-370",370,1,370,"House of Commons","Ontario"
"371","Scarborough—Agincourt","/chamber-1/observation-371","/chamber-1","/chamber-1/constituency-371",371,1,371,"House of Commons","Ontario"
"372","Scarborough—Guildwood","/chamber-1/observation-372","/chamber-1","/chamber-1/constituency-372",372,1,372,"House of Commons","Ontario"
"373","Scarborough—Rouge Park","/chamber-1/observation-373","/chamber-1","/chamber-1/constituency-373",373,1,373,"House of Commons","Ontario"
"374","Scarborough—Rouge River","/chamber-1/observation-374","/chamber-1","/chamber-1/constituency-374",374,1,374,"House of Commons","Ontario"
"375","Selkirk—Interlake","/chamber-1/observation-375","/chamber-1","/chamber-1/constituency-375",375,1,375,"House of Commons","Manitoba"
"376","Selkirk—Interlake—Eastman","/chamber-1/observation-376","/chamber-1","/chamber-1/constituency-376",376,1,376,"House of Commons","Manitoba"
"377","Shefford","/chamber-1/observation-377","/chamber-1","/chamber-1/constituency-377",377,1,377,"House of Commons","Quebec"
"378","Sherbrooke","/chamber-1/observation-378","/chamber-1","/chamber-1/constituency-378",378,1,378,"House of Commons","Quebec"
"379","Sherwood Park—Fort Saskatchewan","/chamber-1/observation-379","/chamber-1","/chamber-1/constituency-379",379,1,379,"House of Commons","Alberta"
"380","Simcoe North","/chamber-1/observation-380","/chamber-1","/chamber-1/constituency-380",380,1,380,"House of Commons","Ontario"
"381","Simcoe—Grey","/chamber-1/observation-381","/chamber-1","/chamber-1/constituency-381",381,1,381,"House of Commons","Ontario"
"382","Skeena—Bulkley Valley","/chamber-1/observation-382","/chamber-1","/chamber-1/constituency-382",382,1,382,"House of Commons","British Columbia"
"383","Souris—Moose Mountain","/chamber-1/observation-383","/chamber-1","/chamber-1/constituency-383",383,1,383,"House of Commons","Saskatchewan"
"384","South Okanagan—West Kootenay","/chamber-1/observation-384","/chamber-1","/chamber-1/constituency-384",384,1,384,"House of Commons","British Columbia"
"385","South Shore—St. Margaret's","/chamber-1/observation-385","/chamber-1","/chamber-1/constituency-385",385,1,385,"House of Commons","Nova Scotia"
"386","South Shore—St. Margarets","/chamber-1/observation-386","/chamber-1","/chamber-1/constituency-386",386,1,386,"House of Commons","Nova Scotia"
"387","South Surrey—White Rock","/chamber-1/observation-387","/chamber-1","/chamber-1/constituency-387",387,1,387,"House of Commons","British Columbia"
"388","South Surrey—White Rock—Cloverdale","/chamber-1/observation-388","/chamber-1","/chamber-1/constituency-388",388,1,388,"House of Commons","British Columbia"
"389","Spadina—Fort York","/chamber-1/observation-389","/chamber-1","/chamber-1/constituency-389",389,1,389,"House of Commons","Ontario"
"390","St. Albert—Edmonton","/chamber-1/observation-390","/chamber-1","/chamber-1/constituency-390",390,1,390,"House of Commons","Alberta"
"391","St. Catharines","/chamber-1/observation-391","/chamber-1","/chamber-1/constituency-391",391,1,391,"House of Commons","Ontario"
"392","St. John's East","/chamber-1/observation-392","/chamber-1","/chamber-1/constituency-392",392,1,392,"House of Commons","Newfoundland and Labrador"
"393","St. John's South—Mount Pearl","/chamber-1/observation-393","/chamber-1","/chamber-1/constituency-393",393,1,393,"House of Commons","Newfoundland and Labrador"
"394","St. Paul's","/chamber-1/observation-394","/chamber-1","/chamber-1/constituency-394",394,1,394,"House of Commons","Ontario"
"395","Steveston—Richmond East","/chamber-1/observation-395","/chamber-1","/chamber-1/constituency-395",395,1,395,"House of Commons","British Columbia"
"396","Stormont—Dundas—South Glengarry","/chamber-1/observation-396","/chamber-1","/chamber-1/constituency-396",396,1,396,"House of Commons","Ontario"
"397","Sturgeon River—Parkland","/chamber-1/observation-397","/chamber-1","/chamber-1/constituency-397",397,1,397,"House of Commons","Alberta"
"398","Sudbury","/chamber-1/observation-398","/chamber-1","/chamber-1/constituency-398",398,1,398,"House of Commons","Ontario"
"399","Surrey Centre","/chamber-1/observation-399","/chamber-1","/chamber-1/constituency-399",399,1,399,"House of Commons","British Columbia"
"400","Surrey North","/chamber-1/observation-400","/chamber-1","/chamber-1/constituency-400",400,1,400,"House of Commons","British Columbia"
"401","Surrey—Newton","/chamber-1/observation-401","/chamber-1","/chamber-1/constituency-401",401,1,401,"House of Commons","British Columbia"
"402","Sydney—Victoria","/chamber-1/observation-402","/chamber-1","/chamber-1/constituency-402",402,1,402,"House of Commons","Nova Scotia"
"403","Terrebonne","/chamber-1/observation-403","/chamber-1","/chamber-1/constituency-403",403,1,403,"House of Commons","Quebec"
"404","Terrebonne—Blainville","/chamber-1/observation-404","/chamber-1","/chamber-1/constituency-404",404,1,404,"House of Commons","Quebec"
"405","Thérèse-De Blainville","/chamber-1/observation-405","/chamber-1","/chamber-1/constituency-405",405,1,405,"House of Commons","Quebec"
"406","Thornhill","/chamber-1/observation-406","/chamber-1","/chamber-1/constituency-406",406,1,406,"House of Commons","Ontario"
"407","Thunder Bay—Rainy River","/chamber-1/observation-407","/chamber-1","/chamber-1/constituency-407",407,1,407,"House of Commons","Ontario"
"408","Thunder Bay—Superior North","/chamber-1/observation-408","/chamber-1","/chamber-1/constituency-408",408,1,408,"House of Commons","Ontario"
"409","Timmins—James Bay","/chamber-1/observation-409","/chamber-1","/chamber-1/constituency-409",409,1,409,"House of Commons","Ontario"
"410","Tobique—Mactaquac","/chamber-1/observation-410","/chamber-1","/chamber-1/constituency-410",410,1,410,"House of Commons","New Brunswick"
"411","Toronto Centre","/chamber-1/observation-411","/chamber-1","/chamber-1/constituency-411",411,1,411,"House of Commons","Ontario"
"412","Toronto—Danforth","/chamber-1/observation-412","/chamber-1","/chamber-1/constituency-412",412,1,412,"House of Commons","Ontario"
"413","Toronto—St. Paul's","/chamber-1/observation-413","/chamber-1","/chamber-1/constituency-413",413,1,413,"House of Commons","Ontario"
"414","Trinity—Spadina","/chamber-1/observation-414","/chamber-1","/chamber-1/constituency-414",414,1,414,"House of Commons","Ontario"
"415","Trois-Rivières","/chamber-1/observation-415","/chamber-1","/chamber-1/constituency-415",415,1,415,"House of Commons","Quebec"
"416","University—Rosedale","/chamber-1/observation-416","/chamber-1","/chamber-1/constituency-416",416,1,416,"House of Commons","Ontario"
"417","Vancouver Centre","/chamber-1/observation-417","/chamber-1","/chamber-1/constituency-417",417,1,417,"House of Commons","British Columbia"
"418","Vancouver East","/chamber-1/observation-418","/chamber-1","/chamber-1/constituency-418",418,1,418,"House of Commons","British Columbia"
"419","Vancouver Granville","/chamber-1/observation-419","/chamber-1","/chamber-1/constituency-419",419,1,419,"House of Commons","British Columbia"
"420","Vancouver Island North","/chamber-1/observation-420","/chamber-1","/chamber-1/constituency-420",420,1,420,"House of Commons","British Columbia"
